App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 02:32:55 PM","1 min 54 sec",""

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
27155,0,27275,3066770,25651,342,Sgemm::NativeCThreaded::IO::Start,
27255,0,27377,2623018,25751,342,Sgemm::NativeCThreaded::IO::Start,
27355,0,27476,2391181,25851,342,Sgemm::NativeCThreaded::IO::Start,
27455,0,27579,2348324,25952,342,Sgemm::NativeCThreaded::IO::Start,
27555,0,27677,2316804,26052,342,Sgemm::NativeCThreaded::IO::Start,
27656,0,27779,2180346,26152,342,Sgemm::NativeCThreaded::IO::Start,
27756,0,27876,2315556,26253,342,Sgemm::NativeCThreaded::IO::Start,
27857,0,27977,2261398,26353,342,Sgemm::NativeCThreaded::IO::Start,
27957,0,28077,2691200,26453,342,Sgemm::NativeCThreaded::IO::Start,
28057,0,28178,2467570,26553,342,Sgemm::NativeCThreaded::IO::Start,
28157,0,28278,2391257,26654,342,Sgemm::NativeCThreaded::IO::Start,
28258,0,28377,2260335,26754,342,Sgemm::NativeCThreaded::IO::Start,
28358,0,28479,2226063,26854,342,Sgemm::NativeCThreaded::IO::Start,
28458,0,28579,2048429,26954,342,Sgemm::NativeCThreaded::IO::Start,
28559,0,28687,2172168,27054,342,Sgemm::NativeCThreaded::IO::Start,
28659,0,28779,2160565,27155,342,Sgemm::NativeCThreaded::IO::Start,
28759,0,28881,2058745,27255,342,Sgemm::NativeCThreaded::IO::Start,
28860,0,28980,2201294,27355,342,Sgemm::NativeCThreaded::IO::Start,
28960,0,29081,2263351,27455,342,Sgemm::NativeCThreaded::IO::Start,
29060,0,29182,2338012,27556,342,Sgemm::NativeCThreaded::IO::Start,
29160,0,29282,2197279,27656,342,Sgemm::NativeCThreaded::IO::Start,
29260,0,29382,2201887,27757,342,Sgemm::NativeCThreaded::IO::Start,
29361,0,29481,2553946,27857,342,Sgemm::NativeCThreaded::IO::Start,
29461,0,29582,2950301,27957,342,Sgemm::NativeCThreaded::IO::Start,
29561,0,29686,2127309,28057,342,Sgemm::NativeCThreaded::IO::Start,
29661,0,29791,2743716,28157,342,Sgemm::NativeCThreaded::IO::Start,
29762,0,29883,2133274,28258,342,Sgemm::NativeCThreaded::IO::Start,
29862,0,29984,2113274,28358,342,Sgemm::NativeCThreaded::IO::Start,
29962,0,30082,2185587,28459,342,Sgemm::NativeCThreaded::IO::Start,
30062,0,30183,1588608,28559,342,Sgemm::NativeCThreaded::IO::Start,
30163,0,30283,2418953,28659,342,Sgemm::NativeCThreaded::IO::Start,
30263,0,30383,2118076,28760,342,Sgemm::NativeCThreaded::IO::Start,
30363,0,30483,2337383,28860,342,Sgemm::NativeCThreaded::IO::Start,
30463,0,30585,2171671,28960,342,Sgemm::NativeCThreaded::IO::Start,
30564,0,30685,2268776,29060,342,Sgemm::NativeCThreaded::IO::Start,
30664,0,30791,2227491,29161,342,Sgemm::NativeCThreaded::IO::Start,
30764,0,30887,2209457,29261,342,Sgemm::NativeCThreaded::IO::Start,
30864,0,30984,3057096,29361,342,Sgemm::NativeCThreaded::IO::Start,
30965,0,31086,2255593,29461,342,Sgemm::NativeCThreaded::IO::Start,
31065,0,31186,2967586,29561,342,Sgemm::NativeCThreaded::IO::Start,
31165,0,31285,2860263,29662,342,Sgemm::NativeCThreaded::IO::Start,
31265,0,31391,2205521,29762,342,Sgemm::NativeCThreaded::IO::Start,
31365,0,31487,2580537,29862,342,Sgemm::NativeCThreaded::IO::Start,
31466,0,31586,2336754,29962,342,Sgemm::NativeCThreaded::IO::Start,
31566,0,31687,2273671,30063,342,Sgemm::NativeCThreaded::IO::Start,
31666,0,31787,2194378,30163,342,Sgemm::NativeCThreaded::IO::Start,
31767,0,31897,1907737,30263,342,Sgemm::NativeCThreaded::IO::Start,
31868,0,31993,2485629,30363,342,Sgemm::NativeCThreaded::IO::Start,
31968,0,32092,1756877,30463,342,Sgemm::NativeCThreaded::IO::Start,
32069,0,32190,1829233,30564,342,Sgemm::NativeCThreaded::IO::Start,
32169,0,32291,2010799,30664,342,Sgemm::NativeCThreaded::IO::Start,
32269,0,32391,1816605,30764,342,Sgemm::NativeCThreaded::IO::Start,
32370,0,32492,1809684,30864,342,Sgemm::NativeCThreaded::IO::Start,
32470,0,32591,1926362,30965,342,Sgemm::NativeCThreaded::IO::Start,
32570,0,32691,1842758,31065,342,Sgemm::NativeCThreaded::IO::Start,
32670,0,32791,1931264,31165,342,Sgemm::NativeCThreaded::IO::Start,
32770,0,32891,2003791,31265,342,Sgemm::NativeCThreaded::IO::Start,
32871,0,32993,2169296,31366,342,Sgemm::NativeCThreaded::IO::Start,
32971,0,33098,2244764,31466,342,Sgemm::NativeCThreaded::IO::Start,
33071,0,33192,1970909,31566,342,Sgemm::NativeCThreaded::IO::Start,
33171,0,33292,2115549,31666,342,Sgemm::NativeCThreaded::IO::Start,
33272,0,33392,1932257,31767,342,Sgemm::NativeCThreaded::IO::Start,
33372,0,33492,1927637,31868,342,Sgemm::NativeCThreaded::IO::Start,
33472,0,33593,1928673,31968,342,Sgemm::NativeCThreaded::IO::Start,
33572,0,33693,1953331,32069,342,Sgemm::NativeCThreaded::IO::Start,
33672,0,33793,1919157,32169,342,Sgemm::NativeCThreaded::IO::Start,
33773,0,33893,1971099,32269,342,Sgemm::NativeCThreaded::IO::Start,
33873,0,33994,1903382,32370,342,Sgemm::NativeCThreaded::IO::Start,
33973,0,34098,1976247,32470,342,Sgemm::NativeCThreaded::IO::Start,
34073,0,34194,2480411,32570,342,Sgemm::NativeCThreaded::IO::Start,
34174,0,34295,1940364,32670,342,Sgemm::NativeCThreaded::IO::Start,
34274,0,34395,2429414,32771,342,Sgemm::NativeCThreaded::IO::Start,
34374,0,34495,1929191,32871,342,Sgemm::NativeCThreaded::IO::Start,
34474,0,34596,2407427,32971,342,Sgemm::NativeCThreaded::IO::Start,
34575,0,34699,2370849,33071,342,Sgemm::NativeCThreaded::IO::Start,
34675,0,34800,2487706,33171,342,Sgemm::NativeCThreaded::IO::Start,
34775,0,34896,2263474,33272,342,Sgemm::NativeCThreaded::IO::Start,
34875,0,34997,1962577,33372,342,Sgemm::NativeCThreaded::IO::Start,
34976,0,35098,2043435,33472,342,Sgemm::NativeCThreaded::IO::Start,
35076,0,35203,1939549,33573,342,Sgemm::NativeCThreaded::IO::Start,
