App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 03:39:43 PM","1 min 33 sec",""

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
38187,0,38307,3029096,35679,56,Histogram::JavaThreaded::Compute::Start,
38287,0,38410,2529294,35779,56,Histogram::JavaThreaded::Compute::Start,
38387,0,38507,3265639,35880,56,Histogram::JavaThreaded::Compute::Start,
38487,0,38607,2783572,35980,56,Histogram::JavaThreaded::Compute::Start,
38587,0,38721,2192785,36080,56,Histogram::JavaThreaded::Compute::Start,
38688,0,38814,3010220,36180,56,Histogram::JavaThreaded::Compute::Start,
38788,0,38909,3038094,36281,56,Histogram::JavaThreaded::Compute::Start,
38888,0,39010,2835175,36381,56,Histogram::JavaThreaded::Compute::Start,
38989,0,39109,2812576,36481,56,Histogram::JavaThreaded::Compute::Start,
39089,0,39210,2854438,36581,56,Histogram::JavaThreaded::Compute::Start,
39189,0,39309,1989316,36682,56,Histogram::JavaThreaded::Compute::Start,
39289,0,39410,2754124,36783,56,Histogram::JavaThreaded::Compute::Start,
39390,0,39516,2601180,36883,56,Histogram::JavaThreaded::Compute::Start,
39490,0,39611,1742957,36983,56,Histogram::JavaThreaded::Compute::Start,
39590,0,39710,3290623,37084,56,Histogram::JavaThreaded::Compute::Start,
39690,0,39824,4297262,37184,56,Histogram::JavaThreaded::Compute::Start,
39791,0,39919,2905167,37285,56,Histogram::JavaThreaded::Compute::Start,
39891,0,40011,2962946,37385,56,Histogram::JavaThreaded::Compute::Start,
39991,0,40112,2687280,37485,56,Histogram::JavaThreaded::Compute::Start,
40091,0,40212,2954988,37585,56,Histogram::JavaThreaded::Compute::Start,
