App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 03:41:56 PM","5 min 18 sec",""

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
41338,0,41459,2365623,41137,0,Mriq::Java::Compute::Start,
41439,0,41560,2334156,41237,0,Mriq::Java::Compute::Start,
41539,0,41660,2367898,41338,0,Mriq::Java::Compute::Start,
41639,0,41761,2242726,41439,0,Mriq::Java::Compute::Start,
41740,0,41862,2342893,41539,0,Mriq::Java::Compute::Start,
41840,0,41962,2248734,41640,0,Mriq::Java::Compute::Start,
41941,0,42074,2496695,41740,0,Mriq::Java::Compute::Start,
42042,0,42168,2753011,41841,0,Mriq::Java::Compute::Start,
42143,0,42263,2338785,41941,0,Mriq::Java::Compute::Start,
42243,0,42314,2590030,42042,0,Mriq::Java::Compute::Start,
42294,0,42414,2721330,42143,0,Mriq::Java::Compute::Start,
42394,0,42514,2319246,42244,0,Mriq::Java::Compute::Start,
42494,0,42616,2346169,42294,0,Mriq::Java::Compute::Start,
