App,Package,Start Time,Duration,Filename
"System",,"May 3, 2014 @ 02:35:20 PM","2 min 54 sec",""

Time  [ms],"Battery Status",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
31833,0,31962,2104084,28420,47,Stencil::Java::Compute::Start,
31933,0,32059,2291592,28521,47,Stencil::Java::Compute::Start,
32033,0,32154,2187463,28621,47,Stencil::Java::Compute::Start,
32134,0,32255,2305661,28721,47,Stencil::Java::Compute::Start,
32234,0,32355,2041236,28821,47,Stencil::Java::Compute::Start,
32334,0,32456,2074499,28922,47,Stencil::Java::Compute::Start,
32435,0,32556,2122143,29022,47,Stencil::Java::Compute::Start,
32535,0,32656,2099473,29122,47,Stencil::Java::Compute::Start,
32635,0,32756,2071460,29222,47,Stencil::Java::Compute::Start,
32735,0,32857,2089509,29323,47,Stencil::Java::Compute::Start,
32836,0,32957,2083097,29423,47,Stencil::Java::Compute::Start,
32936,0,33059,2112705,29523,47,Stencil::Java::Compute::Start,
33036,0,33164,1920432,29624,47,Stencil::Java::Compute::Start,
33137,0,33257,2106956,29724,47,Stencil::Java::Compute::Start,
33237,0,33358,2138469,29824,47,Stencil::Java::Compute::Start,
33337,0,33457,2116391,29924,47,Stencil::Java::Compute::Start,
33437,0,33558,2152490,30025,47,Stencil::Java::Compute::Start,
33538,0,33659,2102950,30125,47,Stencil::Java::Compute::Start,
33638,0,33761,2061047,30225,47,Stencil::Java::Compute::Start,
33738,0,33861,2056436,30325,47,Stencil::Java::Compute::Start,
33838,0,33960,2272308,30426,47,Stencil::Java::Compute::Start,
33938,0,34059,2080293,30526,47,Stencil::Java::Compute::Start,
34039,0,34164,2134441,30627,47,Stencil::Java::Compute::Start,
34139,0,34271,1976602,30728,47,Stencil::Java::Compute::Start,
34239,0,34364,2046499,30828,47,Stencil::Java::Compute::Start,
34340,0,34462,2385471,30929,47,Stencil::Java::Compute::Start,
34440,0,34564,2408134,31029,47,Stencil::Java::Compute::Start,
34540,0,34661,2365113,31130,47,Stencil::Java::Compute::Start,
34641,0,34761,2425190,31231,47,Stencil::Java::Compute::Start,
34741,0,34861,2490914,31332,47,Stencil::Java::Compute::Start,
34841,0,34962,2013110,31432,47,Stencil::Java::Compute::Start,
